upc,wmt_item_nbr,Each_dim_x,Each_dim_y,Each_dim_z,weight_per_unit,whpk_qty,case_qty
3676887654,3676887654,16.65,4.00,3.75,1.00,2.00,118
68113113560,68113113560,6.53,4.19,1.61,0.13,3.00,128
68113102952,68113102952,7.06,3.50,1.56,0.71,4.00,7
4116709444,4116709444,8.25,3.38,2.06,1.25,6.00,22
3270014913,3270014913,13.07,8.82,6.82,20.50,2.00,96
68113102712,68113102712,5.75,3.13,2.25,0.99,4.00,4
8392624900,8392624900,6.88,5.13,2.25,1.00,3.00,135
4100002290,4100002290,7.38,5.75,1.25,0.29,12.00,81
5480003080,5480003080,7.28,5.12,1.26,0.57,12.00,37
38137118053,38137118053,8.19,4.25,2.13,1.25,3.00,33
6905583744,6905583744,9.45,2.20,1.34,0.19,4.00,146
3600051393,3600051393,7.28,4.72,2.76,0.54,4.00,5
3120029256,3120029256,6.50,3.00,1.50,0.50,12.00,21
38151903954,38151903954,7.50,1.72,1.72,0.45,3.00,146
3900008663,3900008663,2.50,2.50,2.50,0.29,48.00,130
68113102435,68113102435,7.00,2.56,2.56,1.04,6.00,106
68113105284,68113105284,6.00,1.50,1.50,0.18,6.00,16
8768400097,8768400097,9.50,5.50,3.70,4.30,4.00,110
3120020157,3120020157,10.50,4.50,3.50,4.35,8.00,144
68113107173,68113107173,4.50,2.20,2.20,0.40,3.00,126
2052511019,2052511019,5.25,3.00,3.00,0.50,3.00,15
3890072060,3890072060,6.25,3.75,3.25,3.70,1.00,106
7962507362,7962507362,7.00,4.75,4.75,0.20,9.00,122
4116775142,4116775142,4.00,3.00,3.00,2.00,4.00,100
7680852320,7680852320,7.50,6.50,3.00,2.00,8.00,21
4300021710,4300021710,7.50,4.69,2.31,0.82,6.00,149
7357529500,7357529500,8.20,2.50,2.50,1.40,6.00,128
68113192822,68113192822,5.24,3.37,2.74,0.52,3.00,125
4150000031,4150000031,7.63,3.74,2.31,1.35,12.00,146
3160403159,3160403159,5.13,2.63,2.63,0.45,3.00,128
68113123452,68113123452,4.31,2.31,2.31,0.31,3.00,41
2331773104,2331773104,5.13,3.00,1.44,0.11,6.00,20
68113122832,68113122832,5.95,5.45,1.88,0.61,3.00,39
3500046391,3500046391,7.78,3.66,1.53,0.71,6.00,75
7874206671,7874206671,6.00,6.00,5.70,1.90,6.00,132
35879000030,35879000030,4.72,2.95,2.17,0.07,3.00,29
1740014002,1740014002,7.25,3.25,2.50,0.63,8.00,109
68113157371,68113157371,4.15,1.98,1.98,0.23,3.00,5
3500046946,3500046946,8.42,4.71,1.52,1.25,6.00,95
30299391746,30299391746,3.75,3.68,3.68,1.18,3.00,82
32878550965,32878550965,7.50,2.80,1.20,0.12,3.00,132
3800023153,3800023153,13.44,9.44,3.50,1.82,8.00,35
88491200472,88491200472,9.63,6.34,2.16,1.81,10.00,88
3320094173,3320094173,11.00,9.50,4.50,9.92,3.00,89
4191102050,4191102050,10.00,5.40,2.70,3.07,4.00,18
88348431118,88348431118,9.40,3.45,2.30,1.78,4.00,26
68113128819,68113128819,4.13,2.25,2.25,0.39,4.00,143
68113111126,68113111126,3.44,1.78,1.78,0.13,6.00,13
7874210515,7874210515,9.90,2.75,2.75,1.58,6.00,143
4138820392,4138820392,4.94,3.00,0.75,0.06,6.00,106
3700031484,3700031484,7.28,4.80,3.42,0.38,3.00,31
30045048828,30045048828,3.63,2.28,2.28,0.24,6.00,141
30766775025,30766775025,5.38,4.38,3.13,0.46,1.00,64
7050102810,7050102810,6.66,2.60,1.67,0.56,3.00,63
5200013318,5200013318,10.40,8.80,7.80,14.20,1.00,16
4116701704,4116701704,5.20,2.70,2.00,0.30,3.00,148
89734300135,89734300135,4.70,3.00,2.70,0.20,3.00,149
6905512799,6905512799,4.88,3.35,1.18,0.09,6.00,76
60069966116,60069966116,11.50,7.00,1.75,1.00,12.00,38
60538899945,60538899945,3.48,1.86,1.86,0.14,3.00,58
4116700353,4116700353,5.75,4.25,1.50,0.10,4.00,39
3620001401,3620001401,12.00,8.00,1.40,3.00,6.00,91
4889404716,4889404716,8.70,7.60,5.90,2.65,2.00,65
7007453432,7007453432,5.50,2.30,2.30,0.60,1.00,65
81990301028,81990301028,4.00,3.00,3.00,2.00,3.00,79
7301000915,7301000915,5.67,5.63,2.60,0.44,6.00,103
1027977060,1027977060,8.00,2.36,2.36,0.51,3.00,146
73373930037,73373930037,4.17,1.98,1.98,0.18,3.00,75
2570071016,2570071016,10.51,4.63,3.08,2.34,8.00,2
37168730031,37168730031,3.19,2.75,1.63,0.08,4.00,92
30078042947,30078042947,4.00,1.27,1.27,0.04,3.00,131
2220095456,2220095456,5.30,2.38,2.22,0.29,3.00,82
30045083824,30045083824,2.81,1.72,1.56,0.10,6.00,56
68113117592,68113117592,11.00,9.00,4.75,2.35,2.00,121
31101726200,31101726200,5.75,3.50,1.00,0.10,6.00,25
1370001651,1370001651,9.50,4.70,4.40,2.03,6.00,89
2400039342,2400039342,6.38,3.50,3.25,0.06,6.00,38
68113131255,68113131255,0.31,0.21,0.21,0.43,2.00,82
1650053536,1650053536,5.25,2.88,2.88,0.85,2.00,145
30041082585,30041082585,6.00,2.75,0.81,0.10,6.00,82
2460001041,2460001041,5.50,2.50,2.50,0.78,6.00,58
30065019231,30065019231,3.86,1.76,1.25,0.06,6.00,59
31727055300,31727055300,5.13,1.94,1.71,0.13,24.00,53
76172005820,76172005820,11.39,6.60,5.12,7.95,6.00,100
6414402073,6414402073,4.50,3.00,3.00,1.00,12.00,9
68113177933,68113177933,5.45,4.50,2.80,0.56,3.00,18
6414404342,6414404342,7.63,6.00,3.19,2.26,6.00,149
30132019012,30132019012,3.20,3.20,1.70,0.10,3.00,82
30043900572,30043900572,4.53,2.76,1.97,0.07,3.00,92
30067001624,30067001624,3.50,1.80,1.30,1.00,6.00,65
1780015016,1780015016,12.00,6.00,5.00,6.30,4.00,131
30573245014,30573245014,4.30,3.50,1.80,1.30,4.00,96
3700097722,3700097722,7.24,6.73,5.51,3.31,3.00,56
38137003320,38137003320,7.87,3.35,2.12,1.25,3.00,128
